pH,EC_uScm,TDS_mgL,HCO3_mgL,Cl_mgL,F_mgL,SO4,NO3,Total_Hardness_mgL,Ca_mgL,Mg_mgL,Na_mgL,K_mgL,pH_exceed,TDS_mgL_exceed,NO3_exceed,F_mgL_exceed,Cl_mgL_exceed,SO4_exceed,Total_Hardness_mgL_exceed,risk_score,risk_label,Latitude,Longitude,State,District,Location,coordinate_flag
6.91,630.0,422.1,429.0,5.0,0.16,9.0,3.0,360.0,118.0,16.0,9.0,1.0,0,0,0,0,0,0,1,1,MODERATE,32.9628,75.0072,Jammu & Kashmir,Udhampur,Dhanu Kannal,
7.05,610.0,408.7000000000001,313.0,25.0,0.15,20.0,36.0,320.0,116.0,7.0,10.0,2.0,0,0,0,0,0,0,1,1,MODERATE,32.9444,75.0347,Jammu & Kashmir,Udhampur,Badola,
6.77,740.0,495.8,233.0,55.0,0.27,79.0,42.0,300.0,88.0,19.0,43.0,2.0,0,0,0,0,0,0,1,1,MODERATE,32.8797,75.1256,Jammu & Kashmir,Udhampur,Battal Ballian,
6.8,560.0,375.2000000000001,560.0,17.0,0.18,19.0,3.0,285.0,102.0,7.0,16.0,3.0,0,0,0,0,0,0,1,1,MODERATE,32.915,75.1089,Jammu & Kashmir,Udhampur,Birmah,
6.73,650.0,435.5,374.0,22.0,0.17,22.0,3.0,325.0,102.0,17.0,20.0,3.0,0,0,0,0,0,0,1,1,MODERATE,32.8967,75.0239,Jammu & Kashmir,Udhampur,Eastern Mand,
6.97,860.0,576.2,454.0,37.0,0.27,41.0,24.0,410.0,128.0,22.0,30.0,2.0,0,1,0,0,0,0,1,2,MODERATE,32.905,75.0825,Jammu & Kashmir,Udhampur,Garhi (Udh),
6.5,340.0,227.8,210.0,12.0,0.22,13.0,3.0,175.0,52.0,11.0,14.0,1.0,0,0,0,0,0,0,0,0,SAFE,32.8595,75.1988,Jammu & Kashmir,Udhampur,Talpad,
6.93,310.0,207.7,166.0,7.0,0.26,13.0,3.0,145.0,44.0,9.0,11.0,1.0,0,0,0,0,0,0,0,0,SAFE,32.425,75.3561,Jammu & Kashmir,Kathua,Khanpur,
7.5,580.0,388.6,352.0,12.0,0.3,11.0,18.0,265.0,76.0,18.0,32.0,2.0,0,0,0,0,0,0,1,1,MODERATE,32.556,74.9541,Jammu & Kashmir,Samba,Gho Brahmna,
7.01,420.0,281.40000000000003,268.0,7.0,0.26,14.0,3.0,225.0,72.0,11.0,12.0,3.0,0,0,0,0,0,0,1,1,MODERATE,32.4878,75.1778,Jammu & Kashmir,Samba,Sanoora,
7.18,1320.0,884.4000000000001,453.0,177.0,0.29,78.0,53.0,584.0,173.0,38.0,85.0,1.0,0,1,1,0,0,0,1,3,HIGH,33.0833,74.2873,Jammu & Kashmir,Rajouri,Seri,
7.25,680.0,455.6,441.0,12.0,0.33,20.0,3.0,351.0,113.0,17.0,22.0,1.0,0,0,0,0,0,0,1,1,MODERATE,33.0729,74.3158,Jammu & Kashmir,Rajouri,Sial,
